title|year|price|feature_names|feature_values|items
2019 Jeep Grand Cherokee Limited|2019|$26,897|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Fuel Type', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Fuel Type', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Gas Mileage', 'Body Style', 'Exterior Color', 'Condition', 'Gas Mileage', 'Interior Color', 'Mileage', 'Body Style']|['Limited', 'Automatic', 'V6 Cylinder Engine', '4WD', '1C4RJFBG6KC723967', 'Gasoline', 'Limited', 'V6 Cylinder Engine', '1C4RJFBG6KC723967', 'Automatic', '4WD', 'Gasoline', 'Billet Silver Metallic Clearcoat', 'Black', 'Used', '27,305', '18 city / 25 hwy', 'Suv', 'Billet Silver Metallic Clearcoat', 'Used', '18 city / 25 hwy', 'Black', '27,305', 'Suv']|['Leather', 'BILLET SILVER METALLIC CLEARCOAT', 'BLACK', 'ENGINE: 3.6L V6 24V VVT UPG I W/ESS', 'LEATHER TRIMMED BUCKET SEATS']|['1%']|[]|['2']|nan|['+$500']
2020 Ford F-250 Super Duty LARIAT|2020|$63,983|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Exterior Color', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Body Style', 'Stock #', 'Interior Color', 'Mileage', 'Stock #', 'Condition', 'Body Style']|['LARIAT', 'Automatic', 'Intercooled Turbo Diesel V-8 6.7 L/406', '4WD', '1FT7W2BT1LED02422', 'Agate Black Metallic', 'LARIAT', 'Intercooled Turbo Diesel V-8 6.7 L/406', '1FT7W2BT1LED02422', 'Automatic', '4WD', 'Agate Black Metallic', 'Black', 'New', '5', 'Pickup_truck', '20T391', 'Black', '5', '20T391', 'New', 'Pickup_truck']|"['Bluetooth', 'Entertainment / DVD', 'iPod / Aux Input', 'Leather', 'Navigation System', 'Folding Rear Seat', 'Power Seats', 'Premium Audio System', 'Satellite Radio', 'WiFi', 'Towing', 'Fog Lights', 'Remote Engine Start', 'Tinted Windows', 'Backup Camera', 'Lane Departure Warning System', 'Blind Spot Detection', 'Keyless Entry', 'Parking Sensors', 'Security System', '000 lb Payload Package', '10 Speakers', '110V/400W Outlet', '3.73 Axle Ratio', '397 Amp Alternators', '4-Wheel Disc Brakes', '4-Wheel Disc Brakes', '6"" Angular Chrome Extended Running Boards', 'A/C', 'ABS', 'ABS brakes', 'AM/FM Stereo', 'AM/FM radio: SiriusXM', 'Adjustable Pedals', 'Adjustable Steering Wheel', 'Adjustable pedals', 'Air Conditioning', 'Aluminum Wheels', 'AppLink/Apple CarPlay and Android Auto', 'Auto High-beam Headlights', 'Auto-Dimming Rearview Mirror', 'Auto-dimming Rear-View mirror', 'Automatic Headlights', 'Automatic temperature control', 'Auxiliary Audio Input', 'Back-Up Camera', 'Blind Spot Monitor', 'Bluetooth Connection', 'Brake Assist', 'Brake assist', 'Bucket Seats', 'Bumpers: chrome', 'Climate Control', 'Compass', 'Conventional Spare Tire', 'Cross-Traffic Alert', 'Cruise Control', 'Daytime Running Lights', 'Delay-off headlights', 'Driver Adjustable Lumbar', 'Driver Adjustable Lumbar', 'Driver Air Bag', 'Driver Illuminated Vanity Mirror', 'Driver Restriction Features', 'Driver Vanity Mirror', 'Driver door bin', 'Driver vanity mirror', 'Dual front impact airbags', 'Dual front side impact airbags', 'Electronic Stability Control', 'Electronic-Locking w/3.31 Axle Ratio', 'Emergency communication system: SYNC 3 911 Assist', 'Engine Block Heater', 'Engine Immobilizer', 'Exterior Parking Camera Rear', 'FX4 Off-Road Package', 'Floor Mats', 'Flow-Through Console', 'Fog Lamps', 'Four Wheel Drive', 'Front Bucket Seats', 'Front Center Armrest', 'Front Head Air Bag', 'Front Leather Seating Surfaces 40/Console/40', 'Front Side Air Bag', 'Front anti-roll bar', 'Front dual zone A/C', 'Front fog lights', 'Front reading lights', 'Fully automatic headlights', 'GVWR: 10', 'Heated Mirrors', 'Heated Steering Wheel', 'Heated door mirrors', 'Illuminated entry', 'Integrated Turn Signal Mirrors', 'Intermittent Wipers', 'Keyless Entry', 'LED Box Lighting', 'Lane Departure Warning', 'Lariat Value Package', 'Leather Seats', 'Leather Steering Wheel', 'Leather steering wheel', 'Low tire pressure warning', 'MP3 Player', 'Multi-Zone A/C', 'Order Code 608A', 'Outside temperature display', 'Overhead airbag', 'Overhead console', 'Panic alarm', 'Pass-Through Rear Seat', 'Passenger Adjustable Lumbar', 'Passenger Air Bag', 'Passenger Illuminated Visor Mirror', 'Passenger Vanity Mirror', 'Passenger door bin', 'Passenger vanity mirror', 'Power Door Locks', 'Power Door Locks', 'Power Door Locks', 'Power Driver Seat', 'Power Driver Seat', 'Power Folding Mirrors', 'Power Mirror(s)', 'Power Passenger Seat', 'Power Passenger Seat', 'Power Steering', 'Power Windows', 'Power Windows', 'Power door mirrors', 'Power driver seat', 'Power passenger seat', 'Power steering', 'Power windows', 'PowerScope Trailer Tow Mirrors w/Heat', 'Premium Sound System', 'Privacy Glass', 'Radio data system', 'Radio: B&O System by Bang & Olufsen', 'Rapid-Heat Supplemental Cab Heater', 'Rear Bench Seat', 'Rear Defrost', 'Rear Head Air Bag', 'Rear Parking Aid', 'Rear Parking Sensors', 'Rear reading lights', 'Rear seat center armrest', 'Rear step bumper', 'Rear window defroster', 'Remote Engine Start', 'Remote Start System', 'Remote engine start: smart device only', 'Remote keyless entry', 'Requires Subscription', 'Requires Subscription', 'Requires Subscription', 'SYNC 3 Communications & Entertainment System', 'Satellite Radio', 'Satellite Radio', 'Security System', 'Security system', 'SiriusXM Radio', 'Smart Device Integration', 'Snow Plow Prep Package', 'Speed control', 'Split folding rear seat', 'Stability Control', 'Steering Wheel Audio Controls', 'Steering wheel mounted audio controls', 'Tachometer', 'Tailgate Step & Handle', 'Telematics', 'Telescoping steering wheel', 'Tilt steering wheel', 'Tire Pressure Monitor', 'Tires - Front All-Season', 'Tires - Rear All-Season', 'Tow Hitch', 'Tow Hooks', 'Traction Control', 'Traction Control', 'Traction control', 'Transfer Case & Fuel Tank Skid Plates', 'Trip Computer', 'Trip Computer', 'Trip computer', 'Turn signal indicator mirrors', 'Upfitter Switches (6)', 'Variable Speed Intermittent Wipers', 'Variably intermittent wipers', 'Voice-Activated Touchscreen Navigation System', 'Wheels: 18"" Bright Machined Cast Aluminum', 'WiFi Hotspot', 'Windshield Wiper De-Icer', 'Woodgrain Interior Trim', 'Woodgrain Interior Trim']"|[]|['8%']|['113']|nan|[]
2017 Toyota Sienna XLE|2017|$23,976|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Exterior Color', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Body Style', 'Stock #', 'Interior Color', 'Mileage', 'Stock #', 'Condition', 'Body Style']|['XLE', 'Automatic', '3.5L V6 SMPI DOHC', 'AWD', '5TDDZ3DC1HS156859', 'Silver Sky Metallic', 'XLE', '3.5L V6 SMPI DOHC', '5TDDZ3DC1HS156859', 'Automatic', 'AWD', 'Silver Sky Metallic', 'Ash', 'Used', '81,438', 'Minivan', 'C2033', 'Ash', '81,438', 'C2033', 'Used', 'Minivan']|"['Bluetooth', 'Heated Seats', 'iPod / Aux Input', 'Leather', 'Navigation System', 'Sunroof / Moonroof', '3rd Row Seats', 'Folding Rear Seat', 'Power Seats', 'Premium Audio System', 'Satellite Radio', 'Roof Rack', 'Fog Lights', 'Premium Wheels', 'Spoiler', 'Backup Camera', 'Blind Spot Detection', 'Keyless Entry', 'Security System', 'One Owner', '18"" x 7"" 10-Spoke Machine Finish Alloy Wheels', '3rd row seats: split-bench', '4-Wheel Disc Brakes', '6 Speakers', 'ABS brakes', 'AM/FM radio: SiriusXM', 'Air Conditioning', 'Anti-whiplash front head restraints', 'Auto-dimming Rear-View mirror', 'Automatic temperature control', 'Axle Ratio: 4.15', 'Blind spot sensor: warning', 'Brake assist', 'Bumpers: body-color', 'CD player', 'Compass', 'Delay-off headlights', 'Door auto-latch', 'Driver door bin', 'Driver vanity mirror', ""Driver's Seat Mounted Armrest"", 'Dual front impact airbags', 'Dual front side impact airbags', 'Electronic Stability Control', 'Exterior Parking Camera Rear', 'Front Bucket Seats', 'Front anti-roll bar', 'Front dual zone A/C', 'Front fog lights', 'Front reading lights', 'Front wheel independent suspension', 'Fully automatic headlights', 'Garage door transmitter: HomeLink', 'Heated Front Bucket Seats', 'Heated door mirrors', 'Heated front seats', 'Illuminated entry', 'Knee airbag', 'Leather Seat Material', 'Low tire pressure warning', 'MP3 decoder', 'Occupant sensing airbag', 'Outside temperature display', 'Overhead airbag', 'Overhead console', 'Panic alarm', 'Passenger door bin', 'Passenger seat mounted armrest', 'Passenger vanity mirror', 'Power Liftgate', 'Power door mirrors', 'Power driver seat', 'Power moonroof', 'Power passenger seat', 'Power steering', 'Power windows', 'Radio data system', 'Radio: AM/FM/HD/CD w/6 Speakers', 'Rear air conditioning', 'Rear anti-roll bar', 'Rear reading lights', 'Rear window defroster', 'Rear window wiper', 'Reclining 3rd row seat', 'Remote keyless entry', 'Roof rack: rails only', 'Security system', 'Speed control', 'Speed-sensing steering', 'Split folding rear seat', 'Spoiler', 'Steering wheel mounted audio controls', 'Sun blinds', 'Tachometer', 'Telescoping steering wheel', 'Tilt steering wheel', 'Traction control', 'Trip computer', 'Variably intermittent wipers']"|[]|['26%']|['113']|nan|[]
2020 Subaru Forester Touring|2020|$34,136|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Exterior Color', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Body Style', 'Stock #', 'Interior Color', 'Mileage', 'Stock #', 'Condition', 'Body Style']|['Touring', 'Automatic', 'Regular Unleaded H-4 2.5 L/152', 'AWD', 'JF2SKAXCXLH437293', 'Crystal Black Silica', 'Touring', 'Regular Unleaded H-4 2.5 L/152', 'JF2SKAXCXLH437293', 'Automatic', 'AWD', 'Crystal Black Silica', 'Black', 'New', '5', 'Suv', '6S00548', 'Black', '5', '6S00548', 'New', 'Suv']|"['Bluetooth', 'Heated Seats', 'iPod / Aux Input', 'Leather', 'Navigation System', 'Sunroof / Moonroof', 'Adaptive Cruise control', 'Power Seats', 'Satellite Radio', 'WiFi', 'Fog Lights', 'Premium Wheels', 'Remote Engine Start', 'Spoiler', 'Tinted Windows', 'Backup Camera', 'Lane Departure Warning System', 'Blind Spot Detection', 'Keyless Entry', 'Roadside Assistance Service', 'Security System', '4-Wheel Disc Brakes', 'A/C', 'ABS', 'AERO CROSSBAR SET  -inc: Part number SOA367010', 'ALL-WEATHER FLOOR LINERS  -inc: Part number J501SSJ030', 'AM/FM Stereo', 'Adaptive Cruise Control', 'Adjustable Steering Wheel', 'All Wheel Drive', 'Aluminum Wheels', 'Automatic Headlights', 'Auxiliary Audio Input', 'BASE MODEL', 'BLACK  PERFORATED LEATHER-TRIMMED UPHOLSTERY', 'Back-Up Camera', 'Blind Spot Monitor', 'Bluetooth Connection', 'Brake Actuated Limited Slip Differential', 'Brake Assist', 'Bucket Seats', 'CD Player', 'CRYSTAL BLACK SILICA', 'Cargo Shade', 'Child Safety Locks', 'Climate Control', 'Cruise Control', 'Daytime Running Lights', 'Driver Adjustable Lumbar', 'Driver Air Bag', 'Driver Illuminated Vanity Mirror', 'Driver Vanity Mirror', 'Engine Immobilizer', 'Floor Mats', 'Fog Lamps', 'Front Head Air Bag', 'Front Side Air Bag', 'Generic Sun/Moonroof', 'HD Radio', 'Headlights-Auto-Leveling', 'Heated Front Seat(s)', 'Heated Mirrors', 'Heated Rear Seat(s)', 'Heated Steering Wheel', ""INT & EXT AUTO DIM MIRROR W/HL & APPROACH LIGHTING  -inc: Passenger's Side Mirror - Bulk  Auto-Dimming Mirror w/Compass & HomeLink Part number H501SSG304  Exterior Mirror Hardware Kit  Auto-Dimming Exterior Mirror w/Approach Lighting Part number J201SFL301  Driver's Side Mirror - Bulk"", 'Integrated Turn Signal Mirrors', 'Intermittent Wipers', 'Keyless Entry', 'Keyless Entry', 'Keyless Start', 'Keyless Start', 'Knee Air Bag', 'Lane Departure Warning', 'Lane Departure Warning', 'Lane Keeping Assist', 'Leather Seats', 'Leather Steering Wheel', 'MP3 Player', 'Mirror Memory', 'Mirror Memory', 'Multi-Zone A/C', 'Navigation System', 'Navigation System', 'Panoramic Roof', 'Pass-Through Rear Seat', 'Passenger Air Bag', 'Passenger Air Bag Sensor', 'Passenger Illuminated Visor Mirror', 'Passenger Vanity Mirror', 'Power Door Locks', 'Power Door Locks', 'Power Door Locks', 'Power Door Locks', 'Power Driver Seat', 'Power Liftgate', 'Power Mirror(s)', 'Power Passenger Seat', 'Power Steering', 'Power Windows', 'Power Windows', 'Premium Sound System', 'Privacy Glass', 'REAR BUMPER COVER  -inc: Part number E771SSJ000', 'REAR SEATBACK PROTECTOR  -inc: Part number J501SSJ310', 'Rear Bench Seat', 'Rear Defrost', 'Rear Head Air Bag', 'Rear Spoiler', 'Remote Engine Start', 'Remote Trunk Release', 'Remote Trunk Release', 'Requires Subscription', 'SPLASH GUARDS  -inc: Part number J101SSJ000', 'Satellite Radio', 'Seat Memory', 'Security System', 'Smart Device Integration', 'Stability Control', 'Steering Wheel Audio Controls', 'Sun/Moonroof', 'Telematics', 'Temporary Spare Tire', 'Tire Pressure Monitor', 'Tires - Front Performance', 'Tires - Rear Performance', 'Traction Control', 'Traction Control', 'Trip Computer', 'Trip Computer', 'Variable Speed Intermittent Wipers', 'WiFi Hotspot']"|['3%']|[]|['197']|nan|[]
2019 Jeep Grand Cherokee Limited|2019|$26,697|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Fuel Type', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Fuel Type', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Gas Mileage', 'Body Style', 'Exterior Color', 'Condition', 'Gas Mileage', 'Interior Color', 'Mileage', 'Body Style']|['Limited', 'Automatic', 'V6 Cylinder Engine', '4WD', '1C4RJFBG4KC745868', 'Gasoline', 'Limited', 'V6 Cylinder Engine', '1C4RJFBG4KC745868', 'Automatic', '4WD', 'Gasoline', 'Bright White Clearcoat', 'Black', 'Used', '29,008', '18 city / 25 hwy', 'Suv', 'Bright White Clearcoat', 'Used', '18 city / 25 hwy', 'Black', '29,008', 'Suv']|['Leather', 'BLACK', 'BRIGHT WHITE CLEARCOAT', 'ENGINE: 3.6L V6 24V VVT UPG I W/ESS', 'LEATHER TRIMMED BUCKET SEATS']|[]|[]|['2']|nan|['+$500']
2020 Honda Accord Sport 1.5T|2020|$25,502|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Exterior Color', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Body Style', 'Stock #', 'Interior Color', 'Mileage', 'Stock #', 'Condition', 'Body Style']|['Sport 1.5T', 'Automatic', 'Intercooled Turbo Regular Unleaded I-4 1.5 L/91', 'FWD', '1HGCV1F31LA045597', 'Modern Steel Metallic', 'Sport 1.5T', 'Intercooled Turbo Regular Unleaded I-4 1.5 L/91', '1HGCV1F31LA045597', 'Automatic', 'FWD', 'Modern Steel Metallic', 'Black', 'New', '1', 'Sedan', '2H00437', 'Black', '1', '2H00437', 'New', 'Sedan']|['Bluetooth', 'iPod / Aux Input', 'Cloth Seats', 'Adaptive Cruise control', 'Power Seats', 'Fog Lights', 'Remote Engine Start', 'Spoiler', 'Backup Camera', 'Lane Departure Warning System', 'Keyless Entry', 'Security System', '4-Wheel Disc Brakes', 'A/C', 'ABS', 'AM/FM Stereo', 'Adaptive Cruise Control', 'Adjustable Steering Wheel', 'Aluminum Wheels', 'Automatic Headlights', 'Auxiliary Audio Input', 'Back-Up Camera', 'Bluetooth Connection', 'Brake Assist', 'Bucket Seats', 'Child Safety Locks', 'Climate Control', 'Cloth Seats', 'Cruise Control', 'Daytime Running Lights', 'Driver Adjustable Lumbar', 'Driver Air Bag', 'Driver Illuminated Vanity Mirror', 'Driver Vanity Mirror', 'Engine Immobilizer', 'Floor Mats', 'Fog Lamps', 'Front Head Air Bag', 'Front Side Air Bag', 'Front Wheel Drive', 'Intermittent Wipers', 'Keyless Entry', 'Keyless Start', 'Keyless Start', 'Knee Air Bag', 'Lane Departure Warning', 'Lane Departure Warning', 'Lane Keeping Assist', 'Leather Steering Wheel', 'MP3 Player', 'Multi-Zone A/C', 'Pass-Through Rear Seat', 'Passenger Air Bag', 'Passenger Air Bag Sensor', 'Passenger Illuminated Visor Mirror', 'Passenger Vanity Mirror', 'Power Door Locks', 'Power Door Locks', 'Power Driver Seat', 'Power Mirror(s)', 'Power Steering', 'Power Windows', 'Power Windows', 'Rear Bench Seat', 'Rear Defrost', 'Rear Head Air Bag', 'Rear Spoiler', 'Requires Subscription', 'Security System', 'Smart Device Integration', 'Stability Control', 'Steering Wheel Audio Controls', 'Telematics', 'Temporary Spare Tire', 'Tire Pressure Monitor', 'Tires - Front Performance', 'Tires - Rear Performance', 'Traction Control', 'Traction Control', 'Trip Computer', 'Trip Computer', 'Turbocharged', 'Variable Speed Intermittent Wipers']|['8%']|[]|['120']|nan|[]
2020 Honda Civic EX-L|2020|$24,330|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Exterior Color', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Body Style', 'Stock #', 'Interior Color', 'Mileage', 'Stock #', 'Condition', 'Body Style']|['EX-L', 'Automatic', 'Intercooled Turbo Regular Unleaded I-4 1.5 L/91', 'FWD', '19XFC1F79LE004877', 'Platinum White Pearl', 'EX-L', 'Intercooled Turbo Regular Unleaded I-4 1.5 L/91', '19XFC1F79LE004877', 'Automatic', 'FWD', 'Platinum White Pearl', 'Black', 'New', '3', 'Sedan', '2H00530', 'Black', '3', '2H00530', 'New', 'Sedan']|['Bluetooth', 'Heated Seats', 'iPod / Aux Input', 'Leather', 'Sunroof / Moonroof', 'Adaptive Cruise control', 'Power Seats', 'Satellite Radio', 'Fog Lights', 'Remote Engine Start', 'Spoiler', 'Backup Camera', 'Lane Departure Warning System', 'Keyless Entry', 'Security System', '4-Wheel Disc Brakes', 'A/C', 'ABS', 'AM/FM Stereo', 'Adaptive Cruise Control', 'Adjustable Steering Wheel', 'Aluminum Wheels', 'Auto-Dimming Rearview Mirror', 'Automatic Headlights', 'Auxiliary Audio Input', 'Back-Up Camera', 'Bluetooth Connection', 'Brake Assist', 'Bucket Seats', 'Child Safety Locks', 'Climate Control', 'Cruise Control', 'Daytime Running Lights', 'Driver Air Bag', 'Driver Illuminated Vanity Mirror', 'Driver Vanity Mirror', 'Engine Immobilizer', 'Floor Mats', 'Fog Lamps', 'Front Head Air Bag', 'Front Side Air Bag', 'Front Wheel Drive', 'Generic Sun/Moonroof', 'HD Radio', 'Heated Front Seat(s)', 'Heated Mirrors', 'Intermittent Wipers', 'Keyless Entry', 'Keyless Entry', 'Keyless Start', 'Keyless Start', 'Lane Departure Warning', 'Lane Departure Warning', 'Lane Keeping Assist', 'Leather Seats', 'Leather Steering Wheel', 'MP3 Player', 'Multi-Zone A/C', 'Pass-Through Rear Seat', 'Passenger Air Bag', 'Passenger Air Bag Sensor', 'Passenger Illuminated Visor Mirror', 'Passenger Vanity Mirror', 'Power Door Locks', 'Power Door Locks', 'Power Door Locks', 'Power Driver Seat', 'Power Mirror(s)', 'Power Steering', 'Power Windows', 'Power Windows', 'Rear Bench Seat', 'Rear Defrost', 'Rear Head Air Bag', 'Rear Spoiler', 'Remote Engine Start', 'Requires Subscription', 'Satellite Radio', 'Security System', 'Smart Device Integration', 'Stability Control', 'Steering Wheel Audio Controls', 'Sun/Moonroof', 'Telematics', 'Temporary Spare Tire', 'Tire Pressure Monitor', 'Tires - Front Performance', 'Tires - Rear Performance', 'Traction Control', 'Traction Control', 'Trip Computer', 'Trip Computer', 'Turbocharged', 'Universal Garage Door Opener', 'Variable Speed Intermittent Wipers']|['3%']|[]|['136']|nan|[]
2018 Cadillac Escalade Luxury|2018|$46,998|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Fuel Type', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Fuel Type', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Gas Mileage', 'Body Style', 'Stock #', 'Exterior Color', 'Condition', 'Gas Mileage', 'Stock #', 'Interior Color', 'Mileage', 'Body Style']|['Luxury', 'Automatic', '6.2L', '4WD', '1GYS4BKJ7JR374644', 'Gasoline', 'Luxury', '6.2L', '1GYS4BKJ7JR374644', 'Automatic', '4WD', 'Gasoline', 'Black', 'Black', 'Used', '38,878', '14 city / 21 hwy', 'Suv', '18653419', 'Black', 'Used', '14 city / 21 hwy', '18653419', 'Black', '38,878', 'Suv']|['Bluetooth', 'iPod / Aux Input', 'Leather', 'Navigation System', 'Sunroof / Moonroof', '3rd Row Seats', 'Power Seats', 'Premium Audio System', 'Satellite Radio', 'Towing', 'Premium Wheels', 'Remote Engine Start', 'Lane Departure Warning System', 'Blind Spot Detection', 'Parking Sensors', 'Warranty - see seller notes', '20 Inch Plus Wheels', '3rd Rear Seat', '4WD/AWD', 'A/C Seat(s)', 'ABS Brakes', 'AM/FM Stereo', 'Air Conditioning', 'Alloy Wheels', 'Apple CarPlay', 'Automated Parking', 'Automatic Transmission', 'Auxiliary Audio Input', 'BOSE Sound System', 'Blind Spot Monitor', 'Bluetooth', 'CD Audio', 'Cruise Control', 'Front Seat Heaters', 'Head Up Display', 'Heated Steering Wheel', 'Lane Departure Warning', 'Leather Seats', 'Memory Seat(s)', 'Navigation System', 'Overhead Airbags', 'Parking Sensors', 'Power Liftgate/DeckLid', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Pwr Folding Third Row', 'Quad Seats', 'Rear Air Conditioning', 'Rear Defroster', 'Rear Seat Heaters', 'Rear View Camera', 'Remote Start', 'Running Boards', 'Satellite Radio Ready', 'Side Airbags', 'SiriusXM Trial Avail', 'Smart Key', 'Sunroof(s)', 'Tow Hitch', 'Traction Control']|['3%']|[]|['N/A']|nan|[]
2017 BMW X5 xDrive35i|2017|$38,314|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Exterior Color', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Body Style', 'Stock #', 'Interior Color', 'Mileage', 'Stock #', 'Condition', 'Body Style']|['xDrive35i', 'Automatic', 'Intercooled Turbo Premium Unleaded I-6 3.0 L/183', 'AWD', '5UXKR0C34H0V84398', 'Gray', 'xDrive35i', 'Intercooled Turbo Premium Unleaded I-6 3.0 L/183', '5UXKR0C34H0V84398', 'Automatic', 'AWD', 'Gray', 'Black', 'Used', '35,251', 'Suv', '1BA0229', 'Black', '35,251', '1BA0229', 'Used', 'Suv']|"['Bluetooth', 'Heated Seats', 'iPod / Aux Input', 'Navigation System', 'Sunroof / Moonroof', 'Power Seats', 'Premium Audio System', 'Satellite Radio', 'WiFi', 'Fog Lights', 'Remote Engine Start', 'Spoiler', 'Tinted Windows', 'Lane Departure Warning System', 'Blind Spot Detection', 'Collision Avoidance System', 'Keyless Entry', 'Security System', 'One Owner', '4-Wheel Disc Brakes', 'A/C', 'ABS', 'AM/FM Stereo', 'Adjustable Steering Wheel', 'All Wheel Drive', 'Aluminum Wheels', 'Auto-Dimming Rearview Mirror', 'Automatic Headlights', 'Auxiliary Audio Input', 'Auxiliary Audio Input', 'Bluetooth Connection', 'Brake Assist', 'Bucket Seats', 'CD Player', 'COLD WEATHER PACKAGE  -inc: Heated Rear Seats  Heated Steering Wheel  Retractable Headlight Washers', 'Cargo Shade', 'Child Safety Locks', 'Climate Control', 'Cruise Control', 'DRIVING ASSISTANCE PACKAGE  -inc: Head-Up Display  Rear-View Camera', 'DRIVING ASSISTANCE PLUS PACKAGE  -inc: Active Blind Spot Detection  Speed Limit Information  Surround View  Active Driving Assistant  lane departure warning  forward collision warning  pedestrian warning and city collision mitigation', 'Daytime Running Lights', 'Driver Adjustable Lumbar', 'Driver Adjustable Lumbar', 'Driver Air Bag', 'Driver Illuminated Vanity Mirror', 'Driver Vanity Mirror', 'Engine Immobilizer', 'Floor Mats', 'Fog Lamps', 'Front Head Air Bag', 'Front Side Air Bag', 'Generic Sun/Moonroof', 'HARMAN/KARDON SURROUND SOUND SYSTEM', 'HD Radio', 'HD Radio', 'HID headlights', 'Hard Disk Drive Media Storage', 'Headlights-Auto-Leveling', 'Heated Front Seat(s)', 'Heated Front Seat(s)', 'Heated Mirrors', 'Integrated Turn Signal Mirrors', 'Intermittent Wipers', 'Keyless Entry', 'Keyless Start', 'Keyless Start', 'Leather Steering Wheel', 'MP3 Player', 'MP3 Player', 'MP3 Player', 'Mirror Memory', 'Multi-Zone A/C', 'Navigation System', 'PREMIUM PACKAGE  -inc: 4-Zone Automatic Climate Control  Comfort Access Keyless Entry  WiFi Hotspot  SiriusXM Satellite Radio w/1 Year All Access  Wireless Charging', 'Panoramic Roof', 'Pass-Through Rear Seat', 'Passenger Adjustable Lumbar', 'Passenger Adjustable Lumbar', 'Passenger Air Bag', 'Passenger Air Bag Sensor', 'Passenger Illuminated Visor Mirror', 'Passenger Vanity Mirror', 'Power Door Locks', 'Power Door Locks', 'Power Door Locks', 'Power Driver Seat', 'Power Driver Seat', 'Power Folding Mirrors', 'Power Liftgate', 'Power Mirror(s)', 'Power Passenger Seat', 'Power Passenger Seat', 'Power Steering', 'Power Windows', 'Power Windows', 'Premium Synthetic Seats', 'Privacy Glass', 'Rain Sensing Wipers', 'Rear Bench Seat', 'Rear Defrost', 'Rear Head Air Bag', 'Rear Parking Aid', 'Rear Spoiler', 'Remote Trunk Release', 'Requires Subscription', 'Requires Subscription', 'Seat Memory', 'Security System', 'Smart Device Integration', 'Stability Control', 'Steering Wheel Audio Controls', 'Sun/Moonroof', 'TRANSMISSION: 8-SPEED AUTOMATIC W/STEPTRONIC  (STD)', 'Telematics', 'Telematics', 'Tire Pressure Monitor', 'Tires - Front Performance', 'Tires - Rear Performance', 'Traction Control', 'Traction Control', 'Trip Computer', 'Trip Computer', 'Turbocharged', 'Universal Garage Door Opener', 'Variable Speed Intermittent Wipers', 'WHEELS: 20"" X 10"" FR & 20"" X 11"" RR (STYLE 451)  -inc: Light alloy Y-spoke  Tires: P275/40R20 Fr & P315/35R20 Rr Perf Run-Flat', 'Woodgrain Interior Trim']"|[]|[]|['7']|nan|[]
2019 Kia Soul +|2019|$12,597|['Trim', 'Transmission', 'Engine', 'Drivetrain', 'VIN', 'Fuel Type', 'Trim', 'Engine', 'VIN', 'Transmission', 'Drivetrain', 'Fuel Type', 'Exterior Color', 'Interior Color', 'Condition', 'Mileage', 'Gas Mileage', 'Body Style', 'Exterior Color', 'Condition', 'Gas Mileage', 'Interior Color', 'Mileage', 'Body Style']|['+', 'Automatic', '4 Cylinder Engine', 'FWD', 'KNDJP3A57K7006190', 'Gasoline', '+', '4 Cylinder Engine', 'KNDJP3A57K7006190', 'Automatic', 'FWD', 'Gasoline', 'Titanium Gray', 'Black', 'Used', '26,848', '25 city / 30 hwy', 'Wagon', 'Titanium Gray', 'Used', '25 city / 30 hwy', 'Black', '26,848', 'Wagon']|['BLACK', 'SEAT TRIM', 'TITANIUM GRAY']|['5%']|[]|['9']|nan|['+$400']
